State,Date,New Deaths,7-Day Moving Avg(covid deaths),Current Hospitalized COVID-19 Patients,Historic Deaths
United States,Jan 30 2021,2769,3150,99434,0
United States,Jan 29 2021,3270,3181,101628,0
United States,Jan 28 2021,3864,3241,103841.43,0
United States,Jan 27 2021,3981,3238,105797.29,0
United States,Jan 26 2021,3559,3220,107861.71,0
United States,Jan 25 2021,2129,3105,109951.71,0
United States,Jan 24 2021,2483,3128,111956,0
United States,Jan 23 2021,2987,3141,113910,0
United States,Jan 22 2021,3688,3218,115749.14,0
United States,Jan 21 2021,3839,3178,117446.14,0
United States,Jan 20 2021,3858,3159,120193.71,0
United States,Jan 19 2021,2757,3190,121513,0
United States,Jan 18 2021,2286,3310,122596.57,0
United States,Jan 17 2021,2576,3358,123595.57,0
United States,Jan 16 2021,3527,3356,124402,0
United States,Jan 15 2021,3405,3329,125129.71,0
United States,Jan 14 2021,3708,3381,125683,0
United States,Jan 13 2021,4072,3420,125016,0
United States,Jan 12 2021,3602,3391,125448.14,0
United States,Jan 11 2021,2619,3375,125693.43,0
United States,Jan 10 2021,2563,3300,125678,0
United States,Jan  9 2021,3337,3226,125525,0
United States,Jan  8 2021,3772,3087,124998.57,0
United States,Jan  7 2021,3981,2980,124047.57,0
United States,Jan  6 2021,3864,2951,123306.14,0
United States,Jan  5 2021,3491,2938,122506,0
United States,Jan  4 2021,2092,2919,121668,0
United States,Jan  3 2021,2046,2940,120837.43,0
United States,Jan  2 2021,2369,2919,119925,0
United States,Jan  1 2021,3023,2816,118960,0
United States,Dec 31 2020,3774,2702,117859.86,0
United States,Dec 30 2020,3773,2596,116887.14,0
United States,Dec 29 2020,3360,2515,116085,0
United States,Dec 28 2020,2240,2451,115249,0
United States,Dec 27 2020,1899,2443,114290.71,0
United States,Dec 26 2020,1649,2471,113378.43,0
United States,Dec 25 2020,2221,2619,112734.57,0
United States,Dec 24 2020,3032,2727,112600.86,0
United States,Dec 23 2020,3209,2772,112047.86,0
United States,Dec 22 2020,2909,2798,111179.14,0
United States,Dec 21 2020,2188,2778,110349.86,0
United States,Dec 20 2020,2091,2753,109653.29,0
United States,Dec 19 2020,2685,2747,109019.29,0
United States,Dec 18 2020,2976,2706,108283.57,0
United States,Dec 17 2020,3347,2739,107438,0
United States,Dec 16 2020,3395,2645,106457.86,0
United States,Dec 15 2020,2765,2642,105440.29,0
United States,Dec 14 2020,2017,2611,104188.57,0
United States,Dec 13 2020,2046,2611,102952.71,0
United States,Dec 12 2020,2400,2548,101686.14,0
United States,Dec 11 2020,3203,2539,100532.86,0
United States,Dec 10 2020,2693,2458,99476.29,0
United States,Dec  9 2020,3370,2462,98467.86,0
United States,Dec  8 2020,2549,2378,97573,0
United States,Dec  7 2020,2017,2355,96799.29,0
United States,Dec  6 2020,1608,2295,95937.43,0
United States,Dec  5 2020,2339,2250,95081.86,0
United States,Dec  4 2020,2630,2130,94009.57,0
United States,Dec  3 2020,2723,1993,92582.71,0
United States,Dec  2 2020,2784,1842,90965.14,0
United States,Dec  1 2020,2384,1774,89432.86,0
United States,Nov 30 2020,1600,1703,87921.43,0
United States,Nov 29 2020,1291,1683,86412.57,0
United States,Nov 28 2020,1500,1687,84910.71,0
United States,Nov 27 2020,1670,1715,83544.57,0
United States,Nov 26 2020,1670,1761,82379.43,0
United States,Nov 25 2020,2304,1796,81252.29,0
United States,Nov 24 2020,1886,1732,79901,0
United States,Nov 23 2020,1463,1690,78412.29,0
United States,Nov 22 2020,1321,1633,76831.86,0
United States,Nov 21 2020,1694,1593,75099.14,0
United States,Nov 20 2020,1993,1559,73307.14,0
United States,Nov 19 2020,1914,1456,71400.57,0
United States,Nov 18 2020,1858,1378,69533.86,0
United States,Nov 17 2020,1590,1329,67529.43,0
United States,Nov 16 2020,1065,1277,65536.43,0
United States,Nov 15 2020,1037,1261,63455.14,0
United States,Nov 14 2020,1457,1241,61447,0
United States,Nov 13 2020,1275,1186,59478.86,0
United States,Nov 12 2020,1367,1190,57567.86,0
United States,Nov 11 2020,1518,1168,55629.57,0
United States,Nov 10 2020,1226,1138,53773.57,466
United States,Nov  9 2020,952,1111,51979.57,0
United States,Nov  8 2020,894,1082,50455,0
United States,Nov  7 2020,1074,1056,49050.57,0
United States,Nov  6 2020,1299,1036,47802,0
United States,Nov  5 2020,1217,984,46672.43,0
United States,Nov  4 2020,1308,968,45595.29,0
United States,Nov  3 2020,1035,934,44596.29,0
United States,Nov  2 2020,751,914,43616.71,0
United States,Nov  1 2020,713,907,42705.43,0
United States,Oct 31 2020,932,892,41907.71,0
United States,Oct 30 2020,933,872,41124.57,0
United States,Oct 29 2020,1104,874,40288.57,0
United States,Oct 28 2020,1072,850,39586.71,0
United States,Oct 27 2020,894,846,38872,0
United States,Oct 26 2020,701,833,38175.43,0
United States,Oct 25 2020,611,821,37362,0
United States,Oct 24 2020,795,841,36588.43,0
United States,Oct 23 2020,947,826,35823.86,0
United States,Oct 22 2020,933,816,35151.86,0
United States,Oct 21 2020,1044,785,34468,0
United States,Oct 20 2020,802,754,33855.57,0
United States,Oct 19 2020,621,733,33318.57,0
United States,Oct 18 2020,746,717,32883.43,0
United States,Oct 17 2020,690,693,32418.29,0
United States,Oct 16 2020,879,691,32000.86,0
United States,Oct 15 2020,715,678,31556,0
United States,Oct 14 2020,829,681,31023.86,0
United States,Oct 13 2020,655,678,30510,0
United States,Oct 12 2020,508,676,29962,0
United States,Oct 11 2020,579,679,29385.29,0
United States,Oct 10 2020,676,682,28827.57,0
United States,Oct  9 2020,790,664,28265.71,0
United States,Oct  8 2020,733,681,27695.43,0
United States,Oct  7 2020,805,684,27251.29,0
United States,Oct  6 2020,641,667,26854.71,0
United States,Oct  5 2020,529,690,26529.29,0
United States,Oct  4 2020,606,675,26279.29,0
United States,Oct  3 2020,544,660,26091.29,0
United States,Oct  2 2020,912,679,25961.14,0
United States,Oct  1 2020,752,658,25805,0
United States,Sep 30 2020,689,658,25647.43,0
United States,Sep 29 2020,804,689,25478.86,0
United States,Sep 28 2020,422,668,25269.29,0
United States,Sep 27 2020,502,691,25127.57,0
United States,Sep 26 2020,672,686,24996.43,0
United States,Sep 25 2020,769,684,24856.43,0
United States,Sep 24 2020,748,692,24792.14,0
United States,Sep 23 2020,907,690,24731.71,0
United States,Sep 22 2020,659,718,24710.71,0
United States,Sep 21 2020,580,735,24796.57,0
United States,Sep 20 2020,471,717,24864.86,0
United States,Sep 19 2020,658,756,25052.29,0
United States,Sep 18 2020,823,755,25222.43,0
United States,Sep 17 2020,732,763,25452.57,0
United States,Sep 16 2020,1106,779,25738.43,0
United States,Sep 15 2020,776,741,26071,0
United States,Sep 14 2020,454,713,26391.71,0
United States,Sep 13 2020,746,708,26592.86,0
United States,Sep 12 2020,651,701,26813.14,0
United States,Sep 11 2020,880,720,27129.43,0
United States,Sep 10 2020,846,727,27461.86,0
United States,Sep  9 2020,840,742,27775.29,0
United States,Sep  8 2020,576,747,28083.14,0
United States,Sep  7 2020,420,787,28384.71,0
United States,Sep  6 2020,694,811,28882.57,0
United States,Sep  5 2020,789,816,29282.14,0
United States,Sep  4 2020,929,820,29625,0
United States,Sep  3 2020,952,836,29937,0
United States,Sep  2 2020,874,837,30404.71,0
United States,Sep  1 2020,857,864,30797,0
United States,Aug 31 2020,585,869,31281,0
United States,Aug 30 2020,727,873,31668.14,0
United States,Aug 29 2020,820,890,32058.29,0
